0	0	1	0	13	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	19
0	0	1	0	13	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	19
0	0	1	0	13	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	7	0	0	0	26
0	0	1	0	19	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	11	0	0	0	39
0	0	1	0	23	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	3	0	2	0	0	0	0	0	0	0	18	0	0	0	57
0	0	1	0	29	0	0	0	0	2	2	0	0	4	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	2	0	0	1	1	0	0	0	3	0	2	0	0	0	0	0	0	0	27	0	0	0	79
0	0	1	0	40	0	0	0	0	2	2	0	0	4	0	0	0	0	0	0	0	6	0	0	0	1	0	0	0	2	0	0	10	1	0	0	0	3	0	2	0	0	0	0	0	0	0	39	0	0	0	113
0	0	1	0	50	2	0	0	0	3	2	0	0	5	0	0	0	0	0	0	0	14	0	0	0	1	0	0	1	2	2	0	21	1	0	0	0	3	0	2	0	0	1	3	0	0	0	70	0	0	0	184
0	0	2	0	68	8	0	0	0	3	3	0	0	5	1	0	0	1	0	0	3	28	0	1	0	1	0	1	2	2	2	0	24	2	0	0	0	3	2	2	0	0	1	4	0	0	0	78	0	0	0	247
0	0	4	0	94	8	0	0	0	7	5	1	0	6	1	0	0	1	0	0	3	72	0	1	0	1	0	1	2	2	4	0	76	2	0	0	1	6	2	3	2	0	1	8	1	0	0	102	0	0	0	417
0	0	4	0	113	8	0	0	0	10	5	1	0	7	2	0	1	1	0	0	5	91	0	1	0	2	0	1	4	4	5	0	105	2	0	0	1	14	6	3	2	0	3	11	1	1	2	122	0	0	0	538
0	0	4	0	136	12	0	0	0	13	10	1	0	7	3	3	1	4	0	0	5	96	0	2	0	2	0	3	4	4	5	0	138	7	0	0	1	14	7	3	3	0	3	13	1	1	2	122	0	0	0	630
0	0	6	0	158	17	1	0	0	15	17	3	0	12	6	8	1	5	0	0	8	110	0	2	0	2	0	3	4	4	15	0	152	7	0	3	2	14	12	3	7	0	3	16	2	1	8	167	0	3	0	797
3	0	9	0	183	34	3	1	0	24	23	2	0	25	11	13	1	8	5	0	9	132	2	5	0	2	0	5	7	5	23	3	216	9	0	4	2	19	16	5	10	8	9	21	3	1	9	282	0	4	0	1156
4	0	9	0	226	49	5	1	0	30	31	2	0	32	13	14	4	10	19	1	12	161	3	9	1	2	0	10	10	6	29	5	296	17	1	5	3	24	22	3	7	7	18	27	3	2	12	442	0	8	1	1596
8	1	9	9	279	78	11	4	0	50	42	2	1	46	13	17	6	14	29	3	18	222	24	14	6	6	1	14	18	6	49	10	379	22	1	12	3	30	41	12	8	8	26	44	9	2	27	568	0	19	1	2222
15	1	12	12	335	103	23	6	0	76	73	4	2	64	16	17	8	16	77	3	27	295	36	21	6	7	5	18	20	7	69	13	557	32	1	26	4	36	47	20	19	8	32	60	10	5	37	642	0	27	2	2952
28	1	12	3	374	136	24	6	0	100	99	6	4	66	20	18	8	18	87	2	24	363	45	21	6	8	6	17	20	7	72	13	633	33	1	30	4	36	47	20	19	8	32	64	18	5	37	603	0	28	2	3234
36	1	18	3	533	161	41	8	22	101	121	8	4	83	25	23	11	21	115	17	42	512	76	53	12	13	6	18	45	17	176	21	961	39	1	50	10	39	79	21	30	10	52	85	28	12	49	779	0	48	2	4667
51	4	20	3	617	183	68	16	22	190	146	10	8	161	30	23	18	26	196	26	60	760	90	59	21	22	8	23	55	26	250	23	1407	62	3	67	17	66	112	23	47	11	74	111	39	12	67	955	0	73	11	6450
61	9	27	4	793	216	96	19	31	306	197	15	9	272	38	38	22	28	257	35	85	1019	159	77	34	35	10	24	55	37	397	28	2507	104	6	89	17	75	155	33	60	11	100	197	47	13	79	1022	1	111	16	9156
88	12	45	62	983	278	159	30	40	432	287	25	23	422	60	44	35	50	392	52	107	1297	314	89	50	58	11	29	95	42	741	35	4221	152	19	119	44	88	206	44	80	14	154	306	62	22	103	1374	2	159	18	13663
115	15	68	100	1244	364	194	39	71	564	485	36	36	585	86	45	48	64	537	56	149	1684	471	113	80	103	20	37	161	53	890	42	7660	208	26	173	49	114	311	54	126	14	223	429	95	29	123	1524	8	219	21	20064
149	16	104	122	1396	475	194	45	98	763	555	36	42	753	128	69	57	87	763	70	193	2006	625	134	140	118	27	38	161	61	1327	55	10410	287	28	247	53	137	399	66	174	14	304	582	118	49	157	1793	12	282	23	26056
180	26	152	165	1697	595	327	56	102	1004	621	53	42	1049	204	90	65	103	837	89	244	2292	1131	167	207	165	34	51	190	73	1914	57	15191	325	28	356	67	161	509	83	196	21	393	643	162	52	220	1997	16	381	26	34944
224	39	235	192	2073	723	415	68	120	1227	772	56	68	1285	270	105	84	123	1172	107	290	2900	1454	234	249	275	34	51	245	101	2844	83	20884	423	30	443	81	191	698	106	298	28	614	764	257	75	254	2221	16	425	26	46096
298	43	326	219	2501	912	618	104	141	1412	1026	90	81	1537	368	124	100	162	1388	118	349	3618	1942	261	320	348	51	66	278	101	3675	100	25681	544	36	567	106	210	946	124	342	30	772	968	298	95	293	2328	22	481	29	56714
472	50	401	280	3013	1087	875	119	187	1682	1247	91	91	1865	477	146	134	197	1795	142	425	4366	2468	286	377	446	65	71	323	108	4402	113	30841	661	45	704	164	266	1260	132	424	41	916	1248	340	125	396	2591	39	621	44	68841
574	64	508	335	3879	1430	1012	130	231	2357	1525	95	146	2538	645	179	172	247	2304	155	583	5301	3032	344	485	657	90	74	420	137	6876	113	37397	791	51	868	248	316	1795	165	424	46	1097	1563	396	158	466	3207	52	728	53	86662
684	75	665	381	4549	1738	1291	163	271	2900	2000	106	205	3024	979	235	206	301	2744	168	775	6242	3848	396	579	834	109	82	536	158	8825	136	44701	963	68	1137	322	416	2345	203	542	58	1318	1937	472	184	607	3477	76	926	70	105253
801	92	773	409	7514	2061	1524	214	304	3763	2366	149	234	3491	1233	298	266	380	3315	211	995	6899	4890	441	663	977	129	96	626	187	11124	208	52400	1105	94	1406	377	479	2845	239	660	68	1511	2455	602	211	740	4030	96	1055	82	127417
880	111	919	426	5495	2308	1993	232	342	4246	2651	149	281	4596	1513	336	330	438	3540	253	1239	7422	5753	503	759	1067	154	108	920	214	13386	237	59648	1234	98	1653	429	548	3432	294	774	90	1720	2792	720	235	890	4465	113	1164	86	143544
1001	119	1157	473	6864	2627	2571	264	401	5473	2808	175	340	5056	1786	424	372	479	4025	275	1413	8660	6803	576	847	1415	171	145	1012	314	16636	237	66663	1426	109	1933	481	606	4155	408	925	101	1917	3173	798	256	1020	4923	145	1230	94	165698
1063	129	1289	523	8011	2966	3128	319	495	6741	3929	204	515	5994	2158	497	434	628	5237	303	1660	9924	7951	629	937	1674	198	172	1114	357	18696	315	75853	1578	122	2199	568	690	4963	488	1083	108	2391	3809	888	293	1249	5432	162	1412	109	192079
